error=0.3705032724794667, alpha=2.72728295496915Boosting round: 4, Accuracy: 0.1702
error=0.27649180730120887, alpha=3.159155256536489Boosting round: 5, Accuracy: 0.1696
error=0.28970460943185966, alpha=3.094043688202331Boosting round: 6, Accuracy: 0.1754
error=0.31366561721500447, alpha=2.9802620196074896Boosting round: 7, Accuracy: 0.1786
error=0.25288419082662816, alpha=3.2805131426507748Boosting round: 8, Accuracy: 0.1755
error=0.30835656917083887, alpha=3.005038321308758Boosting round: 9, Accuracy: 0.1834
error=0.3019641336488595, alpha=3.0351868156657824Boosting round: 10, Accuracy: 0.1813
error=0.2634340751485762, alpha=3.225420172743514Boosting round: 11, Accuracy: 0.1859
error=0.31807740804949713, alpha=2.959845952501782Boosting round: 12, Accuracy: 0.1857
error=0.27706832418248256, alpha=3.1562751606147064Boosting round: 13, Accuracy: 0.1882
error=0.2689835650172521, alpha=3.1970102385645722Boosting round: 14, Accuracy: 0.1904
error=0.3068151952528732, alpha=3.0122756180215893Boosting round: 15, Accuracy: 0.1905
error=0.26911915489529625, alpha=3.196320784679552Boosting round: 16, Accuracy: 0.1935
error=0.2879213178956787, alpha=3.102725750157624Boosting round: 17, Accuracy: 0.1958
error=0.29489162559887944, alpha=3.0689681728978067Boosting round: 18, Accuracy: 0.1993
error=0.27677354892182826, alpha=3.157747301874285Boosting round: 19, Accuracy: 0.2006
error=0.28631595352194117, alpha=3.110568996156966Boosting round: 20, Accuracy: 0.2015
error=0.2973180968885704, alpha=3.057326282888599Boosting round: 21, Accuracy: 0.2
error=0.2706540258498946, alpha=3.188531436197516Boosting round: 22, Accuracy: 0.2008
error=0.31279822819731723, alpha=2.9842941819712667Boosting round: 23, Accuracy: 0.2023
error=0.28310543950409955, alpha=3.126333944624517Boosting round: 24, Accuracy: 0.2056
error=0.2815332965748529, alpha=3.1340932167268036Boosting round: 25, Accuracy: 0.2101
error=0.2880194230460606, alpha=3.1022472898229774Boosting round: 26, Accuracy: 0.2121
error=0.28553602031769626, alpha=3.1143889732404917Boosting round: 27, Accuracy: 0.2096
error=0.2940335912583002, alpha=3.0730982172189574Boosting round: 28, Accuracy: 0.2123
error=0.293862050824719, alpha=3.0739247488336456Boosting round: 29, Accuracy: 0.2115
error=0.28355191279828335, alpha=3.124135148335826Boosting round: 30, Accuracy: 0.2091
error=0.29181158862281364, alpha=3.0838264038251983Boosting round: 31, Accuracy: 0.2087
error=0.28880212370356845, alpha=3.0984335149107274Boosting round: 32, Accuracy: 0.2118
error=0.28909701080540456, alpha=3.0969982457533303Boosting round: 33, Accuracy: 0.212
error=0.3009834464990192, alpha=3.0398437327624275Boosting round: 34, Accuracy: 0.2112
error=0.29948268592110466, alpha=3.0469870536132158Boosting round: 35, Accuracy: 0.2119
error=0.29050183923500333, alpha=3.090172574089958Boosting round: 36, Accuracy: 0.2153
error=0.31117906044318955, alpha=2.9918374264943175Boosting round: 37, Accuracy: 0.2171
error=0.27789665570588856, alpha=3.152143539615196Boosting round: 38, Accuracy: 0.2174
error=0.2776496071763381, alpha=3.1533749942543174error=0.7202200000000001, alpha=1.2516714364914383Boosting round: 1, Accuracy: 0.2144
error=0.7080208611486551, alpha=1.3114333766035957Boosting round: 2, Accuracy: 0.1907
error=0.7069317752847775, alpha=1.316695845755348Boosting round: 3, Accuracy: 0.2007
error=0.6803385187230753, alpha=1.441896646230269Boosting round: 4, Accuracy: 0.2022
error=0.6689348637670687, alpha=1.493853027744417Boosting round: 5, Accuracy: 0.2067
error=0.6399818735284977, alpha=1.6219391054876164Boosting round: 6, Accuracy: 0.2001
error=0.6322836572642108, alpha=1.6551982922566197Boosting round: 7, Accuracy: 0.2016
